Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio,Class Type,Instructor,Age Range,Next Available
Monday,4:00 PM,4 / 5 Year / Semi-Private,4:00 PM – 4:30 PM,1,,,,Semi-Private,Joey S,4y-5y,2026-07-27
Monday,4:00 PM,Private / Any Age,4:00 PM – 4:30 PM,0,1,1,1:1,Private,Skyler B,99y,2026-07-27
Monday,4:00 PM,Private Any Age,4:00 PM – 4:30 PM,0,1,1,1:1,Private,Lilly F,2y-99y,2026-07-27
Monday,4:30 PM,4 / 5 Year / Semi-Private,4:30 PM – 5:00 PM,0,,,,Semi-Private,Skyler B,4y-5y,2026-07-27
Monday,4:30 PM,6 / 7 Year / Semi-Private,4:30 PM – 5:00 PM,0,,,,Semi-Private,Lilly F,6y-7y,2026-07-27
Monday,4:30 PM,Special Needs / Private,4:30 PM – 5:00 PM,0,1,1,1:1,Private,Joey S,3y-12y,2026-07-27
Monday,5:00 PM,10 & Up / Semi-Private,5:00 PM – 5:30 PM,1,,,,Semi-Private,Lilly F,10y-15y,2026-07-27
Monday,5:00 PM,8 / 9 Year / Semi-Private,5:00 PM – 5:30 PM,1,,,,Semi-Private,Joey S,8y-9y,2026-07-27
Monday,5:00 PM,8 / 9 Year / Semi-Private,5:00 PM – 5:30 PM,2,,,,Semi-Private,Skyler B,8y-9y,2026-07-27
Monday,5:30 PM,10 & Up / Semi-Private,5:30 PM – 6:00 PM,1,,,,Semi-Private,Joey S,10y-15y,2026-07-27
Monday,5:30 PM,10 & Up / Semi-Private,5:30 PM – 6:00 PM,1,,,,Semi-Private,Lilly F,10y-16y,2026-07-27
Monday,5:30 PM,4 / 5 Year / Semi-Private,5:30 PM – 6:00 PM,0,,,,Semi-Private,Skyler B,4y-5y,2026-07-27
Monday,6:00 PM,10 & Up / Semi-Private,6:00 PM – 6:30 PM,0,,,,Semi-Private,Skyler B,10y-15y,2026-07-27
Monday,6:00 PM,4 / 5 Year / Semi-Private,6:00 PM – 6:30 PM,0,,,,Semi-Private,Joey S,4y-5y,2026-07-27
Monday,6:00 PM,Parent & Baby / Toddler (6-36 Months) / Group Class,6:00 PM – 6:30 PM,3,,,,Group,Lilly F,6mo-3y,2026-07-27
Monday,6:30 PM,6 / 7 Year / Semi-Private,6:30 PM – 7:00 PM,1,,,,Semi-Private,Skyler B,6y-7y,2026-07-27
Monday,6:30 PM,6 / 7 Year / Semi-Private,6:30 PM – 7:00 PM,1,,,,Semi-Private,Joey S,6y-7y,2026-07-27
Monday,7:00 PM,Adult Class / Semi-Private,7:00 PM – 7:30 PM,1,,,,Semi-Private,Lilly F,15y-99y,2026-07-27
Monday,7:00 PM,Adult Group Class,7:00 PM – 8:00 PM,1,,,,Group,"Joey S, Skyler B",16y-99y,2026-07-27
Tuesday,4:00 PM,4 / 5 Year / Semi-Private,4:00 PM – 4:30 PM,1,,,,Semi-Private,Karla F,3y-5y,2026-07-21
Tuesday,4:00 PM,6 / 7 Year / Semi-Private,4:00 PM – 4:30 PM,0,,,,Semi-Private,Lilly F,6y-7y,2026-07-21
Tuesday,4:00 PM,Sibling-Friend Class / Semi-Private,4:00 PM – 4:30 PM,0,,,,Semi-Private,Kayla G,4y-16y,2026-07-21
Tuesday,4:30 PM,4 / 5 Year / Semi-Private,4:30 PM – 5:00 PM,2,,,,Semi-Private,Karla F,3y-5y,2026-07-21
Tuesday,4:30 PM,6 / 7 Year / Semi-Private,4:30 PM – 5:00 PM,1,,,,Semi-Private,Kayla G,6y-7y,2026-07-21
Tuesday,4:30 PM,Private Any Age,4:30 PM – 5:00 PM,0,1,1,1:1,Private,Lilly F,3y-99y,2026-07-21
